Resource,Permission,Description,SYSTEM_ADMIN,TENANT_ADMIN,OWNER,MANAGER,EMPLOYEE,INVESTOR,Permission_Constant
INVESTMENT,INVESTMENT_PROFIT_DISTRIBUTE,Distribute investment profits,✓,✓,✓,,,,INVESTMENT_PROFIT_DISTRIBUTE
RETURN,RETURN_CREATE,Create product return records,✓,✓,✓,✓,✓,,RETURN_CREATE
RETURN,RETURN_READ,View return details,✓,✓,✓,✓,✓,,RETURN_READ
RETURN,RETURN_LIST,List product returns,✓,✓,✓,✓,✓,,RETURN_LIST
RETURN,RETURN_UPDATE,Update return information,✓,✓,✓,✓,,,RETURN_UPDATE
RETURN,RETURN_DELETE,Delete return records,✓,✓,✓,,,, RETURN_DELETE
RETURN,RETURN_APPROVE,Approve product returns,✓,✓,✓,✓,,,RETURN_APPROVE
AUDIT_LOG,AUDIT_LOG_VIEW_SHOP,View shop-level audit logs,✓,✓,✓,✓,,,AUDIT_LOG_VIEW_SHOP
AUDIT_LOG,AUDIT_LOG_VIEW_TENANT,View tenant-level audit logs,✓,✓,✓,,,, AUDIT_LOG_VIEW_TENANT
ANALYTICS,ANALYTICS_SALES_VIEW,View sales and revenue analytics,✓,✓,✓,✓,,,ANALYTICS_SALES_VIEW
ANALYTICS,ANALYTICS_INVESTMENT_VIEW,View investment ROI analytics,✓,✓,✓,✓,,✓,ANALYTICS_INVESTMENT_VIEW
ANALYTICS,ANALYTICS_MANAGE,Manage analytics cache and exports,✓,✓,✓,,,,ANALYTICS_MANAGE
FRAUD,FRAUD_VIEW,View fraud alerts,✓,✓,✓,✓,,,FRAUD_VIEW
FRAUD,FRAUD_MANAGE,Manage fraud detection,✓,✓,✓,,,, FRAUD_MANAGE
FRAUD,FRAUD_LIST,List fraud alerts and assessments,✓,✓,✓,✓,,,FRAUD_LIST
FRAUD,FRAUD_INVESTIGATE,Investigate fraud alerts,✓,✓,✓,✓,,,FRAUD_INVESTIGATE
FRAUD,FRAUD_RESOLVE,Resolve fraud alerts and assessments,✓,✓,✓,,,,FRAUD_RESOLVE
FRAUD,FRAUD_DETECT,Manage fraud detection rules,✓,✓,✓,,,,FRAUD_DETECT
